"id","bdate","ddate","lifespan","data","name","seats"
"A000004",383,442,59,"ddm","畺良耶舍",NA
"A000006",1247,1317,70,"ddm","一寧",NA
"A000007",1352,1425,73,"ddm","一如",NA
"A000008",683,727,44,"ddm","一行",NA
"A000015",1608,1646,38,"ddm","一絲文守",NA
"A000026",1729,1785,56,"ddm","了貞",NA
"A000035",1077,1141,64,"ddm","了然",NA
"A000046",1630,1688,58,"ddm","上思",NA
"A000055",1334,1407,73,"ddm","大佑",NA
"A000061",1564,1636,72,"ddm","大惠",NA
"A000062",1284,1344,60,"ddm","大訢",NA
"A000069",1576,1627,51,"ddm","大壑",NA
"A000074",732,824,92,"ddm","寶通",NA
"A000076",1201,1268,67,"ddm","大觀",NA
"A000077",1226,1286,60,"ddm","祖元",NA
"A000084",1066,1119,53,"ddm","子淳",NA
"A000085",965,1038,73,"ddm","長水子璿",NA
"A000095",705,774,69,"ddm","不空",NA
"A000105",1362,1407,45,"ddm","徐氏",NA
"A000106",992,1064,72,"ddm","仁岳",NA
"A000109",951,1046,95,"ddm","仁海",NA
"A000111",1637,1695,58,"ddm","今辨",NA
"A000112",1615,1680,65,"ddm","今釋",NA
"A000113",1080,1148,68,"ddm","介諶",NA
"A000114",1576,1630,54,"ddm","元來",NA
"A000119",1093,1156,63,"ddm","元海",NA
"A000129",1048,1116,68,"ddm","元照",NA
"A000135",1578,1657,79,"ddm","鼓山元賢",NA
"A000136",617,686,69,"ddm","元曉",NA
"A000138",1005,1062,57,"ddm","允堪",NA
"A000149",1360,1424,64,"ddm","朱棣",NA
"A000153",1639,1707,68,"ddm","幻敏",NA
"A000156",1327,1415,88,"ddm","心泰",NA
"A000166",1241,1302,61,"ddm","文才",NA
"A000174",885,958,73,"ddm","文益",NA
"A000178",1345,1418,73,"ddm","文琇",NA
"A000195",1222,1282,60,"ddm","日蓮",NA
"A000197",1618,1696,78,"ddm","月舟宗胡",NA
"A000198",1637,1716,79,"ddm","月坡道印",NA
"A000200",1587,1646,59,"ddm","木增",NA
"A000203",1105,1173,68,"ddm","王日休",NA
"A000205",1549,1613,64,"ddm","王肯堂",NA
"A000206",650,676,26,"ddm","王勃",NA
"A000207",1846,1909,63,"ddm","王耕心",NA
"A000212",1678,1735,57,"ddm","愛新覺羅胤禛",NA
"A000218",367,431,64,"ddm","求那跋摩",NA
"A000226",1092,1182,90,"ddm","可觀",NA
"A000233",1663,1695,32,"ddm","巨翔",NA
"A000236",1880,1942,62,"ddm","弘一",NA
"A000237",602,675,73,"ddm","弘忍",NA
"A000241",1605,1672,67,"ddm","弘儲",NA
"A000242",1599,1670,71,"ddm","弘璧",NA
"A000243",1630,1706,76,"ddm","弘瀚",NA
"A000244",1612,1686,74,"ddm","弘贊",NA
"A000252",982,1051,69,"ddm","本如",NA
"A000257",1555,1606,51,"ddm","本智",NA
"A000264",1147,1209,62,"ddm","正受",NA
"A000266",1600,1649,49,"ddm","正明",NA
"A000273",1549,1614,65,"ddm","正傳",NA
"A000274",1545,1628,83,"ddm","正誨",NA
"A000278",1091,1157,66,"ddm","正覺",NA
"A000282",905,976,71,"ddm","延壽",NA
"A000285",1275,1347,72,"ddm","竺源水盛",NA
"A000291",685,762,77,"ddm","李隆基",NA
"A000294",602,664,62,"ddm","玄奘",NA
"A000298",416,484,68,"ddm","玄暢",NA
"A000302",1610,1678,68,"ddm","德申",NA
"A000307",1669,1760,91,"ddm","白龍",NA
"A000308",1685,1768,83,"ddm","白隱慧鶴",NA
"A000325",1265,1334,69,"ddm","先睹",NA
"A000329",549,623,74,"ddm","吉藏",NA
"A000332",614,688,74,"ddm","地婆訶羅",NA
"A000334",1320,1385,65,"ddm","如玘",NA
"A000352",1541,1616,75,"ddm","如馨",NA
"A000357",1064,1127,63,"ddm","守千",NA
"A000362",1072,1147,75,"ddm","守遂",NA
"A000365",1150,1202,52,"ddm","守覺",NA
"A000375",1618,1678,60,"ddm","成時",NA
"A000383",1021,1101,80,"ddm","有嚴",NA
"A000389",1872,1938,66,"ddm","江妙煦",NA
"A000392",1611,1662,51,"ddm","行元",NA
"A000400",1615,1691,76,"ddm","自融",NA
"A000406",1611,1670,59,"ddm","行舟",NA
"A000408",1166,1246,80,"ddm","行秀",NA
"A000411",1600,1668,68,"ddm","行省",NA
"A000412",1620,1685,65,"ddm","行悅",NA
"A000419",1614,1677,63,"ddm","行森",NA
"A000421",1628,1682,54,"ddm","行策",NA
"A000431",1635,1714,79,"ddm","卍山道白",NA
"A000432",1827,1886,59,"ddm","曉柔",NA
"A000441",359,429,70,"ddm","佛馱跋陀羅",NA
"A000446",1319,1399,80,"ddm","何道全",NA
"A000448",1867,1952,85,"ddm","佐伯定胤",NA
"A000457",978,1040,62,"ddm","呂夷簡",NA
"A000458",1018,1070,52,"ddm","呂夏卿",NA
"A000470",1201,1261,60,"ddm","天台妙倫",NA
"A000472",1219,1293,74,"ddm","妙高",NA
"A000475",1089,1163,74,"ddm","宗杲   ",NA
"A000480",1127,1194,67,"ddm","趙昚",NA
"A000489",1247,1322,75,"ddm","希陵",NA
"A000506",1751,1810,59,"ddm","快道",NA
"A000508",590,648,58,"ddm","曷利沙伐彈那",NA
"A000513",985,1077,92,"ddm","戒珠",NA
"A000517",645,740,95,"ddm","李通玄",NA
"A000519",715,766,51,"ddm","李華",NA
"A000520",988,1038,50,"ddm","李遵勗",NA
"A000525",558,641,83,"ddm","法順",NA
"A000527",394,468,74,"ddm","求那跋陀羅",NA
"A000529",1259,1314,55,"ddm","沙囉巴",NA
"A000531",1830,1902,72,"ddm","沈善登",NA
"A000535",1199,1287,88,"ddm","良忠",NA
"A000540",717,777,60,"ddm","良賁",NA
"A000545",490,589,99,"ddm","那連提黎耶舍",NA
"A000548",1337,1391,54,"ddm","忻悟",NA
"A000552",337,413,76,"ddm","卑摩羅叉",NA
"A000555",1607,1675,68,"ddm","受登",NA
"A000560",1591,1647,56,"ddm","周理",NA
"A000562",1656,1739,83,"ddm","周夢顏",NA
"A000564",1198,1280,82,"ddm","孤雲懷奘",NA
"A000571",1149,1214,65,"ddm","宗印",NA
"A000577",1202,1278,76,"ddm","宗性",NA
"A000581",1318,1390,72,"ddm","宗泐",NA
"A000584",1282,1337,55,"ddm","宗峰妙超",NA
"A000587",780,841,61,"ddm","宗密",NA
"A000589",1376,1442,66,"ddm","宗淨",NA
"A000601",1151,1214,63,"ddm","宗曉",NA
"A000603",808,884,76,"ddm","宗叡",NA
"A000617",1164,1246,82,"ddm","居簡",NA
"A000624",1065,1138,73,"ddm","忠尋",NA
"A000632",1671,1726,55,"ddm","性音",NA
"A000635",1661,1717,56,"ddm","性統",NA
"A000640",1265,1342,77,"ddm","性澄",NA
"A000643",1633,1695,62,"ddm","高泉性潡",NA
"A000644",1611,1667,56,"ddm","性聰",NA
"A000650",1235,1280,45,"ddm","拔合思巴",NA
"A000651",1327,1387,60,"ddm","拔隊得勝",NA
"A000655",1263,1323,60,"ddm","明本",NA
"A000658",1588,1640,52,"ddm","明河",NA
"A000675",1231,1291,60,"ddm","東山湛照",NA
"A000676",1428,1504,76,"ddm","東陽英朝",NA
"A000678",1732,1802,70,"ddm","東晙",NA
"A000682",1517,1598,81,"ddm","林兆恩",NA
"A000683",1869,1944,75,"ddm","松本文三郎",NA
"A000686",565,633,68,"ddm","波羅頗迦羅蜜多羅",NA
"A000689",495,580,85,"ddm","法上",NA
"A000691",653,743,90,"ddm","法月",NA
"A000697",1723,1800,77,"ddm","法住",NA
"A000703",1284,1355,71,"ddm","法林",NA
"A000709",1102,1181,79,"ddm","瑞巖法恭",NA
"A000726",571,639,68,"ddm","法琳",NA
"A000728",709,778,69,"ddm","法進",NA
"A000729",467,529,62,"ddm","法雲",NA
"A000731",1185,1273,88,"ddm","法照",NA
"A000733",1018,1104,86,"ddm","法演",NA
"A000747",569,635,66,"ddm","法礪",NA
"A000749",239,316,77,"ddm","竺法護",NA
"A000750",338,423,85,"ddm","法顯",NA
"A000753",811,883,72,"ddm","知玄",NA
"A000756",960,1028,68,"ddm","知禮",NA
"A000758",1328,1407,79,"ddm","明應",NA
"A000759",774,835,61,"ddm","空海",NA
"A000765",1292,1348,56,"ddm","竺僊梵僊",NA
"A000774",669,741,72,"ddm","金剛智",NA
"A000784",79,166,87,"ddm","馬融",NA
"A000787",854,925,71,"ddm","曹氏",NA
"A000811",1167,1228,61,"ddm","俊芿",NA
"A000814",1821,1907,86,"ddm","俞樾",NA
"A000817",1235,1308,73,"ddm","南浦紹明",NA
"A000821",1007,1072,65,"ddm","契嵩",NA
"A000829",557,610,53,"ddm","彥琮",NA
"A000841",1689,1764,75,"ddm","慧印",NA
"A000842",1289,1363,74,"ddm","指空",NA
"A000845",1311,1388,77,"ddm","春屋妙葩",NA
"A000846",1247,1312,65,"ddm","昭如",NA
"A000848",1149,1241,92,"ddm","善月",NA
"A000850",803,863,60,"ddm","段成式",NA
"A000854",1592,1664,72,"ddm","洪如",NA
"A000857",1366,1456,90,"ddm","洪蓮",NA
"A000858",1092,1152,60,"ddm","珍海",NA
"A000868",1126,1193,67,"ddm","范成大",NA
"A000885",980,1052,72,"ddm","重顯",NA
"A000886",1683,1769,86,"ddm","面山瑞芳",NA
"A000898",1627,1689,62,"ddm","原澂",NA
"A000903",1886,1946,60,"ddm","夏丏尊",NA
"A000909",-200,-154,46,"ddm","晁錯",NA
"A000910",-216,-154,62,"ddm","劉濞",NA
"A000924",1800,1873,73,"ddm","徐槐廷",NA
"A000928",1609,1654,45,"ddm","悟卓",NA
"A000931",1416,1500,84,"ddm","悟溪宗頓",NA
"A000933",1303,1381,78,"ddm","時蔚",NA
"A000935",1645,1722,77,"ddm","書玉",NA
"A000942",1419,1506,87,"ddm","特芳禪傑",NA
"A000944",1543,1604,61,"ddm","真可",NA
"A000945",1621,1672,51,"ddm","真在",NA
"A000946",968,1022,54,"ddm","趙德昌",NA
"A000953",1443,1495,52,"ddm","真盛",NA
"A000958",1794,1868,74,"ddm","真嵩",NA
"A000959",1434,1512,78,"ddm","真慧",NA
"A000962",499,569,70,"ddm","真諦",NA
"A000964",1537,1589,52,"ddm","真覺",NA
"A000981",1280,1358,78,"ddm","祖銘",NA
"A000983",1234,1308,74,"ddm","祖誾",NA
"A000984",1292,1369,77,"ddm","無盡祖鐙",NA
"A000988",721,820,99,"ddm","神清",NA
"A000991",1736,1797,61,"ddm","翁春",NA
"A001003",100,160,60,"ddm","馬鳴",NA
"A001004",1603,1647,44,"ddm","高承埏",NA
"A001005",1241,1316,75,"ddm","高峰顯日",NA
"A001007",1173,1232,59,"ddm","高辨",NA
"A001010",1602,1673,71,"ddm","行乾",NA
"A001012",477,569,92,"ddm","勒那摩提",NA
"A001019",632,682,50,"ddm","窺基",NA
"A001028",1580,1645,65,"ddm","寂光",NA
"A001030",1290,1367,77,"ddm","寂室元光",NA
"A001032",1255,1341,86,"ddm","行端",NA
"A001037",1132,1202,70,"ddm","崇岳",NA
"A001039",1304,1378,74,"ddm","崇裕",NA
"A001046",181,280,99,"ddm","康僧會",NA
"A001049",1762,1830,68,"ddm","張師誠",NA
"A001050",1044,1122,78,"ddm","張商英",NA
