"id","data","bdate","ddate","lifespan","name","seats","female"
"A006375","ddm",500,532,32,"尒朱世隆",NA,NA
"12255","cbdb",501,531,30,"蕭統",NA,0
"146168","cbdb",501,540,39,"李希宗",NA,0
"A005035","ddm",501,531,30,"蕭統",NA,NA
"A005548","ddm",501,601,100,"慧隆",NA,NA
"A017966","ddm",501,540,39,"李希宗",NA,NA
"31004","cbdb",502,578,76,"韋敬遠",NA,0
"145767","cbdb",502,575,73,"崔幼妃",NA,1
"A012062","ddm",502,557,55,"獨孤信",NA,NA
"12828","cbdb",503,559,56,"陳霸先",NA,0
"33251","cbdb",503,551,48,"蕭綱",NA,0
"A004389","ddm",503,559,56,"陳霸先",NA,NA
"A005213","ddm",503,551,48,"蕭綱",NA,NA
"A005297","ddm",503,581,78,"曇衍",NA,NA
"A019503","ddm",503,572,69,"杜稜",NA,NA
"31450","cbdb",504,564,60,"席固",NA,0
"A004281","ddm",504,584,80,"寶瓊",NA,NA
"A005207","ddm",504,564,60,"洪偃",NA,NA
"A005890","ddm",504,547,43,"蕭續",NA,NA
"31655","cbdb",505,589,84,"殷不害",NA,0
"A006811","ddm",505,541,36,"植相",NA,NA
"A015861","ddm",505,529,24,"蕭績",NA,NA
"31770","cbdb",506,557,51,"宇文泰",NA,0
"A004958","ddm",506,572,66,"魏收",NA,NA
"A015948","ddm",506,553,47,"庾肩吾",NA,NA
"30953","cbdb",507,568,61,"楊忠",NA,0
"A002048","ddm",507,551,44,"元寶炬",NA,NA
"A002055","ddm",507,556,49,"宇文泰",NA,NA
"A002918","ddm",507,581,74,"法朗",NA,NA
"A003276","ddm",507,546,39,"劉亮",NA,NA
"A004803","ddm",507,583,76,"徐陵",NA,NA
"A005248","ddm",507,583,76,"安廩",NA,NA
"A006379","ddm",507,568,61,"楊忠",NA,NA
"A006508","ddm",507,530,23,"元子攸",NA,NA
"A006541","ddm",507,588,81,"僧猛",NA,NA
"33252","cbdb",508,554,46,"蕭繹",NA,0
"145763","cbdb",508,574,66,"李稚廉",NA,0
"145923","cbdb",508,565,57,"崔昂",NA,0
"A002426","ddm",508,554,46,"蕭繹",NA,NA
"A004814","ddm",508,583,75,"警韶",NA,NA
"A004844","ddm",508,607,99,"陳暄",NA,NA
"A005072","ddm",508,553,45,"蕭紀",NA,NA
"31015","cbdb",509,580,71,"韋孝寬",NA,0
"A004450","ddm",509,582,73,"陽休之",NA,NA
"A005233","ddm",509,599,90,"智文",NA,NA
"A006029","ddm",509,604,95,"慧實",NA,NA
"A002045","ddm",510,528,18,"元詡",NA,NA
"A005472","ddm",510,605,95,"寶儒",NA,NA
"A006024","ddm",510,605,95,"慧越",NA,NA
"A006825","ddm",510,601,91,"僧雲",NA,NA
"A006829","ddm",510,601,91,"慧瑱",NA,NA
"A006837","ddm",510,566,56,"慧峯",NA,NA
"A006958","ddm",510,605,95,"道幽",NA,NA
"95124","cbdb",511,536,25,"王訓",NA,0
"145761","cbdb",511,556,45,"李希禮",NA,0
"145764","cbdb",511,569,58,"李祖牧",NA,0
"172354","cbdb",511,563,52,"封子繪",NA,0
"A002050","ddm",511,535,24,"元修",NA,NA
"A006926","ddm",511,598,87,"尚圓",NA,NA
"31701","cbdb",512,575,63,"崔說",NA,0
"A004775","ddm",512,578,66,"吳明徹",NA,NA
"A005073","ddm",512,561,49,"寶彖",NA,NA
"A016361","ddm",512,555,43,"高岳",NA,NA
"32967","cbdb",513,573,60,"令狐整",NA,0
"145765","cbdb",513,561,48,"宋靈媛",NA,1
"A002060","ddm",513,572,59,"宇文護",NA,NA
"A005005","ddm",513,581,68,"庾信",NA,NA
"A005926","ddm",513,573,60,"僧瑋",NA,NA
"A006512","ddm",513,532,19,"拓跋朗",NA,NA
"A004355","ddm",514,608,94,"僧曇",NA,NA
"A006035","ddm",514,605,91,"僧善",NA,NA
"A007220","ddm",514,608,94,"靈達",NA,NA
"A016714","ddm",514,583,69,"孔奐",NA,NA
"142505","cbdb",515,608,93,"高文",NA,0
"A001711","ddm",515,577,62,"慧思",NA,NA
"A004578","ddm",515,583,68,"慧勇",NA,NA
"A004855","ddm",515,589,74,"慧暅",NA,NA
"A005292","ddm",515,572,57,"慧善",NA,NA
"A005988","ddm",515,594,79,"曇崇",NA,NA
"A006041","ddm",515,606,91,"玄景",NA,NA
"139448","cbdb",516,585,69,"楊康",NA,0
"A001779","ddm",516,588,72,"曇延",NA,NA
"A004805","ddm",516,587,71,"毛喜",NA,NA
"31658","cbdb",518,573,55,"殷不佞",NA,0
"A001283","ddm",518,568,50,"智愷",NA,NA
"A004312","ddm",518,576,58,"黃法抃",NA,NA
"A005283","ddm",518,605,87,"靈裕",NA,NA
"A006848","ddm",518,615,97,"法安",NA,NA
"A006852","ddm",518,610,92,"賈逸",NA,NA
"12256","cbdb",519,562,43,"蕭詧（西梁宣帝）",NA,0
"31762","cbdb",519,568,49,"柳慶",NA,0
"A003414","ddm",519,594,75,"江總",NA,NA
"A004783","ddm",519,586,67,"靈藏",NA,NA
"A005909","ddm",519,562,43,"蕭詧",NA,NA
"A006068","ddm",519,602,83,"僧淵",NA,NA
"A006085","ddm",519,603,84,"法純",NA,NA
"A011742","ddm",519,618,99,"薛舉",NA,NA
"A017633","ddm",519,578,59,"蔡景歷",NA,NA
"A005534","ddm",520,616,96,"普圓",NA,NA
"A005916","ddm",520,599,79,"曇詢",NA,NA
"A007176","ddm",520,617,97,"法顯",NA,NA
"A005082","ddm",521,616,95,"亡名",NA,NA
"A005282","ddm",521,549,28,"高澄",NA,NA
"21300","cbdb",522,566,44,"陳蒨",NA,0
"138723","cbdb",522,609,87,"胡永",NA,0
"31766","cbdb",523,577,54,"柳帶韋",NA,0
"32425","cbdb",523,591,68,"顏之義",NA,0
"A001844","ddm",523,600,77,"闍那崛多",NA,NA
"A002000","ddm",523,592,69,"慧遠",NA,NA
"A004989","ddm",523,566,43,"陳蒨",NA,NA
"A005379","ddm",523,606,83,"慧藏",NA,NA
