"p","pname","bdate","ddate","seats"
"P003JR4640","kaHthog mkhan chen bsod nams bstan pa'i rgyal mtshan/","1943","2017","G17"
"P00AG02484","gyer sgom gnyis pa/","1144","1204" , 
"P00AG0401","mdo khams sde dge rgyal rgan ma/","1840","1898" , 
"P00EGS1016275","karma chos rgyal/","1810","1870" , 
"P00EGS1016614","spang nang 04 byams pa tshul khrims rnam rgyal/","1936","1993" , 
"P00EGS1016624","mdo mang gter chen rdo rje bde chen gling pa/","1875","1928" , 
"P00EGS1016721","rgya ra 08 blo bzang bstan 'dzin chos kyi dbang phyug","1918","1976","G1KR983"
"P00EGS1017400","dge stag sprul sku blo bzang don grub grags pa mtha' yas/","1903","1950" , 
"P00EGS1017617","lam 'bras pa ye shes dpal/","1281","1365" , 
"P00EGS1017625","gung srong gung btsan/","0633","0650" , 
"P00EGS1017975","rgyal ba ten ne/","1127","1217" , 
"P00KG07607","bya bral chos dbying rang grol/","1872","1952",""
"P00KG07869","rig 'dzin dbang rgyal/","1924","1997","G3954"
"P00KG07870","a don mkhan chen 'phrin las dbang rgyal/","1927","1993","G3954"
"P00KG09697","mkhas btsun bzang po/","1920","2009" , 
"P00KG09732","lha rnam rgyal rgya mtsho/","1927","2003" , 
"P00KG09738","khe smad bsod nams dbang 'dus/","1901","1972" , 
"P0RK1289","chos sku rdo rje/","1036","1097" , 
"P0RK1295","rngog gzhung rin chen dpal bzang /","1243","1319","G4202"
"P0RK1485","paN chen nam mkha' dpal bzang /","1464","1529" , 
"P0RK1607","mnga' ris bla chen chos dpal bzang po/","1370","1439" , 
"P0RK406","shar pa ye 'byung /","1198","1261" , 
"P1000","gzims khang gong ma 02 bsod nams ye shes dbang po/","1556","1592","G108"
"P1001","chos kyi rgya mtsho/","1571","1635","G160"
"P1002","sngags chen dkon mchog rgyal mtshan/","1612","1687" , 
"P1003","g.yu rngog ma Ni pa bsam gtan rgya mtsho/","1616","1678","G163"
"P1004","stong 'khor 03 rgyal ba rgya mtsho/","1588","1639","G239"
"P1005","sgrub khang pa dge legs rgya mtsho/","1641","1713" , 
"P1006","karma pa mthong ba don ldan/","1416","1453","G33"
"P10079","kun dga' thugs rje/","1925","2000","G4910"
"P1008","mi nyag blo gros rin chen/","1386","1423" , 
"P1009","chos rje byang chub rgya mtsho/","1403","1448","G67"
"P101","paN chen bsod nams grags pa/","1478","1554","G304,G108,G337,G126,G104,G155"
"P1010","zhwa dmar 03 chos dpal ye shes/","1406","1452","G198"
"P1011","stag lung pa bkra shis dpal/","1407","1460","G67"
"P1013","kun dga' chos kyi rgya mtsho/","1432","1505" , 
"P10132","ngag dbang bstan pa/","1814","1885" , 
"P10141","nyang tshang sprul sku blo bzang thub bstan 'jigs med 'phrin las/","1868","1918","G301"
