Dharma_Drum_Authority_No,Main_Name,Birth,Death
A000004,畺良耶舍,+0383-01-01 ~ +0383-12-31,+0442-01-28 ~ +0443-02-15
A000006,一寧,+1247-01-01 ~ +1247-12-31,+1317-03-24 ~ +1318-02-09
A000007,一如,+1352-01-01 ~ +1352-12-31,+1425-03-29 ~ +1425-04-26
A000008,一行,+0683-01-01 ~ +0683-12-31,+0727-11-29
A000015,一絲文守,+1608-01-01 ~ +1608-12-31,+1646-02-16 ~ +1647-02-04
A000026,了貞,+1729-01-01 ~ +1729-12-31,+1785-11-08
A000035,了然,+1077-01-01 ~ +1077-12-31,+1141-06-13 ~ +1141-07-12
A000046,上思,+1630-01-01 ~ +1630-12-31,+1688-03-26
A000055,大佑,+1334-01-01 ~ +1334-12-31,+1407-02-18
A000061,大惠,+1564-01-24 ~ +1565-02-10,+1636-01-01 ~ +1636-12-31
A000062,大訢,+1284-10-14,+1344-07-12
A000069,大壑,+1576-01-01 ~ +1576-12-31,+1627-02-16 ~ +1627-09-30
A000074,寶通,+0732-01-01 ~ +0732-12-31,+0824-02-08 ~ +0824-02-28
A000076,大觀,+1201-07-18,+1268-08-04
A000077,祖元,+1226-02-06 ~ +1227-01-25,+1286-09-29
A000084,子淳,+1066-01-01 ~ +1066-12-31,+1119-03-23 ~ +1120-02-07
A000085,長水子璿,+0965-04-12,+1038-05-27
A000095,不空,+0705-01-01 ~ +0705-12-31,+0774-08-01
A000105,徐氏,+1362-02-04 ~ +1363-01-23,+1407-02-17 ~ +1408-02-05
A000106,仁岳,+0992-01-01 ~ +0992-12-31,+1064-04-20
A000109,仁海,+0951-01-01 ~ +0951-12-31,+1046-05-28 ~ +1047-02-03
A000111,今辨,+1637-01-01 ~ +1637-12-31,+1695-02-20
A000112,今釋,+1615-01-28,+1680-09-01
A000113,介諶,+1080-01-01 ~ +1080-12-31,+1148-06-08
A000114,元來,+1576-01-09,+1630-10-23
A000119,元海,+1093-01-01 ~ +1093-12-31,+1156-01-01 ~ +1156-12-31
A000129,元照,+1048-01-01 ~ +1048-12-31,+1116-10-15
A000135,鼓山元賢,+1578-08-31,+1657-11-12
A000136,元曉,+0617-01-01 ~ +0617-12-31,+0686-01-01 ~ +0686-12-31
A000138,允堪,+1005-02-18 ~ +1006-02-06,+1062-01-15
A000149,朱棣,+1360-05-02,+1424-08-12
A000153,幻敏,+1639-01-18,+1707-04-14
A000156,心泰,+1327-01-01 ~ +1327-12-31,+1415-12-23
A000160,支法度,+0251-01-01 ~ +0300-12-31,+0302-01-01 ~ +0351-12-31
A000166,文才,+1241-01-01 ~ +1241-12-31,+1302-09-30
A000174,文益,+0885-01-05 ~ +0886-01-04,+0958-07-28
A000178,文琇,+1345-01-01 ~ +1345-12-31,+1418-11-01
A000195,日蓮,+1222-01-01 ~ +1222-12-31,+1282-02-17 ~ +1283-02-05
A000197,月舟宗胡,+1618-05-28,+1696-02-12
A000198,月坡道印,+1637-10-26,+1716-11-26
A000200,木增,+1587-01-01 ~ +1587-12-31,+1646-01-01 ~ +1646-12-31
A000203,王日休,+1105-01-01 ~ +1105-12-31,+1173-01-23 ~ +1173-03-22
A000205,王肯堂,+1549-02-08 ~ +1550-01-27,+1613-02-19 ~ +1614-02-08
A000206,王勃,+0650-02-10 ~ +0651-01-29,+0676-01-24 ~ +0676-12-20
A000207,王耕心,+1846-01-27 ~ +1847-02-14,+1909-01-22 ~ +1910-02-09
A000212,愛新覺羅胤禛,+1678-12-13,+1735-10-08
A000218,求那跋摩,+0367-01-01 ~ +0367-12-31,+0431-11-19
A000226,可觀,+1092-01-01 ~ +1092-12-31,+1182-04-01
A000233,巨翔,+1663-01-13,+1695-06-20
