"item","itemLabel","yob","yod","occupationLabel","citizenLabel","birthcountryLabel"
"http://www.wikidata.org/entity/Q3033649","Doda of Metz",NA,NA,"aristocrat","","France"
"http://www.wikidata.org/entity/Q290499","Louis I, Duke of Bar",NA,1430,"Catholic priest","France","France"
"http://www.wikidata.org/entity/Q347218","Adalberon",NA,988,"writer","France","France"
"http://www.wikidata.org/entity/Q347218","Adalberon",NA,989,"writer","France","France"
"http://www.wikidata.org/entity/Q347218","Adalberon",NA,988,"priest","France","France"
"http://www.wikidata.org/entity/Q347218","Adalberon",NA,989,"priest","France","France"
"http://www.wikidata.org/entity/Q347218","Adalberon",NA,988,"archbishop","France","France"
"http://www.wikidata.org/entity/Q347218","Adalberon",NA,989,"archbishop","France","France"
"http://www.wikidata.org/entity/Q2674235","Gerard de Daumar",NA,1343,"theologian","France","France"
"http://www.wikidata.org/entity/Q2287950","Simon d'Armentières",NA,1297,"Catholic priest","France","France"
"http://www.wikidata.org/entity/Q19647906","Jean Simon",NA,1833,"construction foreman","France","France"
"http://www.wikidata.org/entity/Q761775","A. Albert",NA,NA,"rugby union player","France","France"
"http://www.wikidata.org/entity/Q1044150","J. Defert",NA,NA,"tennis player","France","France"
"http://www.wikidata.org/entity/Q3100058","Gedefroy de Bar",NA,1287,"Catholic priest","France","France"
"http://www.wikidata.org/entity/Q3175846","Jean Le Fèvre",NA,1372,"prelate","France","France"
"http://www.wikidata.org/entity/Q3120462","Guillaume de Talliante",NA,NA,"Catholic priest","France","France"
"http://www.wikidata.org/entity/Q4281546","Jeana de Marion",NA,1635,"military engineer","","France"
"http://www.wikidata.org/entity/Q4281546","Jeana de Marion",NA,1635,"film score composer","","France"
"http://www.wikidata.org/entity/Q6120839","Santiago Betbeder",NA,NA,"military personnel","","France"
"http://www.wikidata.org/entity/Q6120839","Santiago Betbeder",NA,NA,"large estate owner","","France"
"http://www.wikidata.org/entity/Q55224954","Thomas d' Agiout",NA,1850,"","","France"
"http://www.wikidata.org/entity/Q16556916","Diego Sigeo",NA,1563,"historian","Spain","France"
"http://www.wikidata.org/entity/Q16556916","Diego Sigeo",NA,1563,"historian","France","France"
"http://www.wikidata.org/entity/Q16556916","Diego Sigeo",NA,1563,"chronicler","Spain","France"
"http://www.wikidata.org/entity/Q16556916","Diego Sigeo",NA,1563,"chronicler","France","France"
"http://www.wikidata.org/entity/Q16556916","Diego Sigeo",NA,1563,"instructor","Spain","France"
"http://www.wikidata.org/entity/Q16556916","Diego Sigeo",NA,1563,"instructor","France","France"
"http://www.wikidata.org/entity/Q18275391","Giselle Montfort",NA,1942,"","France","France"
"http://www.wikidata.org/entity/Q325738","Hædde",600,705,"Catholic priest","United Kingdom","United Kingdom"
"http://www.wikidata.org/entity/Q325738","Hædde",600,705,"Catholic priest","United Kingdom","France"
"http://www.wikidata.org/entity/Q732637","Agnes of Poitiers",600,588,"nun","","France"
"http://www.wikidata.org/entity/Q741447","Birinus",600,650,"priest","Kingdom of Wessex","France"
"http://www.wikidata.org/entity/Q741447","Birinus",600,651,"priest","Kingdom of Wessex","France"
"http://www.wikidata.org/entity/Q741447","Birinus",600,650,"priest","Francia","France"
"http://www.wikidata.org/entity/Q741447","Birinus",600,651,"priest","Francia","France"
"http://www.wikidata.org/entity/Q741447","Birinus",600,650,"missionary","Kingdom of Wessex","France"
"http://www.wikidata.org/entity/Q741447","Birinus",600,651,"missionary","Kingdom of Wessex","France"
"http://www.wikidata.org/entity/Q741447","Birinus",600,650,"missionary","Francia","France"
"http://www.wikidata.org/entity/Q741447","Birinus",600,651,"missionary","Francia","France"
"http://www.wikidata.org/entity/Q325738","Hædde",650,705,"Catholic priest","United Kingdom","United Kingdom"
"http://www.wikidata.org/entity/Q325738","Hædde",650,705,"Catholic priest","United Kingdom","France"
"http://www.wikidata.org/entity/Q656344","Angelomus of Luxeuil",780,855,"monk","France","France"
"http://www.wikidata.org/entity/Q656344","Angelomus of Luxeuil",780,855,"exegete","France","France"
"http://www.wikidata.org/entity/Q649025","Wandelbert",813,801,"poet","Germany","France"
"http://www.wikidata.org/entity/Q649025","Wandelbert",813,801,"theologian","Germany","France"
"http://www.wikidata.org/entity/Q526265","Aymard of Cluny",910,965,"","France","France"
"http://www.wikidata.org/entity/Q2567387","Wichburg",960,1030,"","","France"
"http://www.wikidata.org/entity/Q1310403","Geoffrey II, Count of Gâtinais",1000,1046,"aristocrat","France","France"
"http://www.wikidata.org/entity/Q3111596","Gouffier of Lastours",1001,1101,"","","France"
"http://www.wikidata.org/entity/Q9164580","Baldwin",1001,1109,"Catholic priest","","France"
"http://www.wikidata.org/entity/Q65252659","Q65252659",1010,1070,"rabbi","","France"
"http://www.wikidata.org/entity/Q65252659","Q65252659",1010,1070,"rabbi","","United States of America"
"http://www.wikidata.org/entity/Q65252659","Q65252659",1010,1070,"rabbi","","Russia"
"http://www.wikidata.org/entity/Q65252659","Q65252659",1010,1070,"rabbi","","Belarus"
"http://www.wikidata.org/entity/Q65252659","Q65252659",1010,1070,"rabbi","","Ukraine"
"http://www.wikidata.org/entity/Q65252659","Q65252659",1010,1070,"rabbi","","European Union"
"http://www.wikidata.org/entity/Q65252659","Q65252659",1010,1070,"rabbi","","Israel"
"http://www.wikidata.org/entity/Q291372","Almodis de la Marche",1020,1071,"aristocrat","France","France"
"http://www.wikidata.org/entity/Q1553956","William the Carpenter",1042,1100,"","France","France"
"http://www.wikidata.org/entity/Q2840614","Alvise",1050,1148,"prelate","France","France"
"http://www.wikidata.org/entity/Q3314421","Milon",1050,1104,"Catholic priest","","France"
"http://www.wikidata.org/entity/Q3119625","Guillaume",1060,1139,"Catholic priest","","France"
"http://www.wikidata.org/entity/Q1636776","Humbeline of Jully",1092,1141,"nun","France","France"
"http://www.wikidata.org/entity/Q507166","Imar of Tusculum",1100,1161,"Catholic priest","France","France"
"http://www.wikidata.org/entity/Q1155146","Baldwin",1100,1145,"Catholic priest","","France"
"http://www.wikidata.org/entity/Q1329089","Elias I",1100,1110,"aristocrat","","France"
"http://www.wikidata.org/entity/Q8020806","William de Malveisin",1100,1238,"judge","","France"
"http://www.wikidata.org/entity/Q8020806","William de Malveisin",1100,1238,"Catholic priest","","France"
"http://www.wikidata.org/entity/Q11908883","Beat de Cerbi",1100,1001,"","","France"
"http://www.wikidata.org/entity/Q826271","Bernard of Cluny",1101,1200,"writer","France","France"
"http://www.wikidata.org/entity/Q826271","Bernard of Cluny",1101,1200,"poet","France","France"
"http://www.wikidata.org/entity/Q826271","Bernard of Cluny",1101,1200,"monk","France","France"
"http://www.wikidata.org/entity/Q386451","Guichard of Pontigny",1106,1181,"writer","France","France"
"http://www.wikidata.org/entity/Q386451","Guichard of Pontigny",1106,1181,"archbishop","France","France"
"http://www.wikidata.org/entity/Q386451","Guichard of Pontigny",1106,1181,"monk","France","France"
"http://www.wikidata.org/entity/Q3124148","Gérard Mainard",1110,1188,"religious servant","France","France"
"http://www.wikidata.org/entity/Q1553784","Guigo II",1114,1193,"writer","France","France"
"http://www.wikidata.org/entity/Q1553784","Guigo II",1114,1193,"Catholic priest","France","France"
"http://www.wikidata.org/entity/Q1553784","Guigo II",1114,1193,"prior","France","France"
"http://www.wikidata.org/entity/Q374385","Balian of Ibelin",1143,1193,"feudatory","","France"
