"name","birth","death","lifespan","occupation","country","id","dataset"
"Hædde",600,705,105,"Catholic priest","United Kingdom","http://www.wikidata.org/entity/Q325738","wikidata"
"Birinus",600,650,50,"priest","France","http://www.wikidata.org/entity/Q741447","wikidata"
"Angelomus of Luxeuil",780,855,75,"monk","France","http://www.wikidata.org/entity/Q656344","wikidata"
"Aymard of Cluny",910,965,55,NA,"France","http://www.wikidata.org/entity/Q526265","wikidata"
"Wichburg",960,1030,70,NA,"France","http://www.wikidata.org/entity/Q2567387","wikidata"
"Geoffrey II, Count of Gâtinais",1000,1046,46,"aristocrat","France","http://www.wikidata.org/entity/Q1310403","wikidata"
"Gouffier of Lastours",1001,1101,100,NA,"France","http://www.wikidata.org/entity/Q3111596","wikidata"
"Baldwin",1001,1109,108,"Catholic priest","France","http://www.wikidata.org/entity/Q9164580","wikidata"
"Q65252659",1010,1070,60,"rabbi","France","http://www.wikidata.org/entity/Q65252659","wikidata"
"Almodis de la Marche",1020,1071,51,"aristocrat","France","http://www.wikidata.org/entity/Q291372","wikidata"
"William the Carpenter",1042,1100,58,NA,"France","http://www.wikidata.org/entity/Q1553956","wikidata"
"Alvise",1050,1148,98,"prelate","France","http://www.wikidata.org/entity/Q2840614","wikidata"
"Milon",1050,1104,54,"Catholic priest","France","http://www.wikidata.org/entity/Q3314421","wikidata"
"Guillaume",1060,1139,79,"Catholic priest","France","http://www.wikidata.org/entity/Q3119625","wikidata"
"Humbeline of Jully",1092,1141,49,"nun","France","http://www.wikidata.org/entity/Q1636776","wikidata"
"Baldwin",1100,1145,45,"Catholic priest","France","http://www.wikidata.org/entity/Q1155146","wikidata"
"Elias I",1100,1110,10,"aristocrat","France","http://www.wikidata.org/entity/Q1329089","wikidata"
"Imar of Tusculum",1100,1161,61,"Catholic priest","France","http://www.wikidata.org/entity/Q507166","wikidata"
"William de Malveisin",1100,1238,138,"judge","France","http://www.wikidata.org/entity/Q8020806","wikidata"
"Bernard of Cluny",1101,1200,99,"writer","France","http://www.wikidata.org/entity/Q826271","wikidata"
"Guichard of Pontigny",1106,1181,75,"writer","France","http://www.wikidata.org/entity/Q386451","wikidata"
"Gérard Mainard",1110,1188,78,"religious servant","France","http://www.wikidata.org/entity/Q3124148","wikidata"
"Guigo II",1114,1193,79,"writer","France","http://www.wikidata.org/entity/Q1553784","wikidata"
"Balian of Ibelin",1143,1193,50,"feudatory","France","http://www.wikidata.org/entity/Q374385","wikidata"
"Rogerio Deres",1150,1227,77,NA,"France","http://www.wikidata.org/entity/Q20925441","wikidata"
"Saint Brocard",1150,1231,81,"Catholic priest","France","http://www.wikidata.org/entity/Q3463699","wikidata"
"Alys, Countess of the Vexin",1160,1220,60,"feudatory","France","http://www.wikidata.org/entity/Q235462","wikidata"
"Joan, Lady of Wales",1191,1237,46,"aristocrat","France","http://www.wikidata.org/entity/Q1091368","wikidata"
"Marie, Countess of Ponthieu",1199,1250,51,"politician","France","http://www.wikidata.org/entity/Q2479519","wikidata"
"Guy Paré",1200,1206,6,"Catholic priest","France","http://www.wikidata.org/entity/Q1215654","wikidata"
"Guy de Montfort, Lord of Sidon",1200,1228,28,"feudatory","France","http://www.wikidata.org/entity/Q1227371","wikidata"
"James II of Avesnes",1200,1205,5,NA,"France","http://www.wikidata.org/entity/Q1679119","wikidata"
"Nicolás Gallus",1200,1257,57,NA,"France","http://www.wikidata.org/entity/Q20925443","wikidata"
"Eudes Rigaud",1200,1275,75,"diplomat","France","http://www.wikidata.org/entity/Q446752","wikidata"
"Bertrand de Thessy",1200,1231,31,"warrior monk","France","http://www.wikidata.org/entity/Q828639","wikidata"
"Narjot de Toucy",1200,1241,41,"regent","France","http://www.wikidata.org/entity/Q908551","wikidata"
"Berenguer Fredol",1201,1323,122,"Catholic priest","France","http://www.wikidata.org/entity/Q2461939","wikidata"
"Guillaume de Bray",1201,1282,81,"mathematician","France","http://www.wikidata.org/entity/Q3120293","wikidata"
"Robert I, Count of Artois",1216,1250,34,"aristocrat","France","http://www.wikidata.org/entity/Q375325","wikidata"
"Marie de Coucy",1218,1285,67,NA,"France","http://www.wikidata.org/entity/Q2465095","wikidata"
"Bernard Saisset",1232,1314,82,"priest","France","http://www.wikidata.org/entity/Q822689","wikidata"
"Johann I of Salm",1247,1338,91,"aristocrat","France","http://www.wikidata.org/entity/Q31192745","wikidata"
"Regnaud de La Porte",1250,1325,75,"Catholic priest","France","http://www.wikidata.org/entity/Q1772051","wikidata"
"Renaud de Nanteuil",1250,1283,33,"priest","France","http://www.wikidata.org/entity/Q21511938","wikidata"
"Bertrand des Bordes",1250,1311,61,"Catholic priest","France","http://www.wikidata.org/entity/Q2325644","wikidata"
"Gervais Jeancolet de Clinchamp",1250,1287,37,"canon","France","http://www.wikidata.org/entity/Q3104418","wikidata"
"Nicolas Caignet de Fréauville",1250,1323,73,"theologian","France","http://www.wikidata.org/entity/Q3340170","wikidata"
"Nicolas de Nonancour",1250,1299,49,"Catholic priest","France","http://www.wikidata.org/entity/Q3340986","wikidata"
"Philippe de Marigny",1250,1316,66,"archbishop","France","http://www.wikidata.org/entity/Q3380966","wikidata"
"Raymond de Saint-Sever",1250,1317,67,"Catholic priest","France","http://www.wikidata.org/entity/Q3421087","wikidata"
"Raymond de Got",1250,1310,60,NA,"France","http://www.wikidata.org/entity/Q3421223","wikidata"
"Bérenger Fredoli",1250,1323,73,"Catholic priest","France","http://www.wikidata.org/entity/Q521012","wikidata"
"Louis of France",1264,1276,12,NA,"France","http://www.wikidata.org/entity/Q3263449","wikidata"
"Mahaut, Countess of Artois",1269,1329,60,"politician","France","http://www.wikidata.org/entity/Q1166728","wikidata"
"Pierre Desprès",1280,1361,81,"diplomat","France","http://www.wikidata.org/entity/Q3130537","wikidata"
"Hugues Roger",1293,1363,70,"Catholic priest","France","http://www.wikidata.org/entity/Q1772194","wikidata"
"Andouin Aubert",1300,1363,63,"Catholic priest","France","http://www.wikidata.org/entity/Q1351294","wikidata"
"Raymond de Canillac",1300,1373,73,"Catholic priest","France","http://www.wikidata.org/entity/Q1772117","wikidata"
"Arnaud de Villemur",1300,1355,55,"Catholic priest","France","http://www.wikidata.org/entity/Q2863265","wikidata"
"Aaron ben Zerah",1300,1328,28,NA,"France","http://www.wikidata.org/entity/Q4662598","wikidata"
"Guillaume Arrufat",1300,1311,11,"priest","France","http://www.wikidata.org/entity/Q528862","wikidata"
"Amaro",1300,1300,0,"pilgrim","France","http://www.wikidata.org/entity/Q5671878","wikidata"
"Robert de Pontigny",1300,1305,5,"Catholic priest","France","http://www.wikidata.org/entity/Q647465","wikidata"
"Étienne de Suisy",1300,1311,11,"cardinal","France","http://www.wikidata.org/entity/Q672601","wikidata"
"Arnaud de Faugères",1300,1317,17,"Catholic priest","France","http://www.wikidata.org/entity/Q728452","wikidata"
"Jean de Murat de Cros",1301,1383,82,"Catholic priest","France","http://www.wikidata.org/entity/Q2405733","wikidata"
"Jean Flandrin",1301,1415,114,"Catholic priest","France","http://www.wikidata.org/entity/Q3172023","wikidata"
"Étienne de La Garde",1301,1361,60,"archbishop","France","http://www.wikidata.org/entity/Q3592418","wikidata"
"Hélie de Talleyrand-Périgord, Bishop of Auxerre",1301,1364,63,"diplomat","France","http://www.wikidata.org/entity/Q974959","wikidata"
"Jean de Moulins",1304,1353,49,"Catholic priest","France","http://www.wikidata.org/entity/Q2380556","wikidata"
"Pierre de La Forest",1305,1361,56,"prelate","France","http://www.wikidata.org/entity/Q3387579","wikidata"
"Guillaume de La Jugie",1317,1374,57,"Catholic priest","France","http://www.wikidata.org/entity/Q3120368","wikidata"
"Nicolas de Besse",1320,1369,49,"Catholic priest","France","http://www.wikidata.org/entity/Q1750285","wikidata"
"Pierre de Murat de Cros",1320,1388,68,"Catholic priest","France","http://www.wikidata.org/entity/Q2453387","wikidata"
"Pierre d'Estaing",1320,1377,57,"prelate","France","http://www.wikidata.org/entity/Q3387430","wikidata"
"Jean de La Grange",1325,1402,77,"priest","France","http://www.wikidata.org/entity/Q1259784","wikidata"
"Maria of Navarre",1326,1347,21,"aristocrat","France","http://www.wikidata.org/entity/Q387701","wikidata"
"Simon of Cramaud",1345,1423,78,"Catholic priest","France","http://www.wikidata.org/entity/Q966508","wikidata"
"Guillaume de la Sudrie",1350,1373,23,"Catholic priest","France","http://www.wikidata.org/entity/Q1772112","wikidata"
"Artaud de Mélan",1350,1410,60,"prelate","France","http://www.wikidata.org/entity/Q2864787","wikidata"
"Peter of Narbonne",1350,1391,41,"Catholic priest","France","http://www.wikidata.org/entity/Q30902464","wikidata"
"Hugues de Saint-Martial",1350,1403,53,"Catholic priest","France","http://www.wikidata.org/entity/Q3142751","wikidata"
"Jean d'Armagnac",1350,1408,58,"Catholic priest","France","http://www.wikidata.org/entity/Q3175172","wikidata"
"Pierre Blavi",1350,1409,59,"Catholic priest","France","http://www.wikidata.org/entity/Q3384037","wikidata"
"Ranulphe de Pérusse d'Escars",1350,1441,91,"prelate","France","http://www.wikidata.org/entity/Q3419044","wikidata"
